,Review Title,Review Content,Stars,Combined Review,Sentiment Combined
16,T.V.table,I like the idea of the table but it’s a bit flimsy I think if the rod underneath where you adjust for height was a little longer it would be better mine is slipping all the time I like the idea and wish it would fold flat but the only way it folds flat is to take the legs offRead full review...,3 stars,T.V.table I like the idea of the table but it’s a bit flimsy I think if the rod underneath where you adjust for height was a little longer it would be better mine is slipping all the time I like the idea and wish it would fold flat but the only way it folds flat is to take the legs offRead full review...,0.9081
17,Unstable table,"Table didn't slot together properly and could be moved sideways. Very unstable. Would be ok for general use  but this was for my Mum to use for hot meals and drinks. Too dangerous to use. Also, this product is marketed as Table mate but doesn't have logo on.Read full review...",2 stars,"Unstable table Table didn't slot together properly and could be moved sideways. Very unstable. Would be ok for general use  but this was for my Mum to use for hot meals and drinks. Too dangerous to use. Also, this product is marketed as Table mate but doesn't have logo on.Read full review...",-0.7349
18,Disappointed,So pleased with this product when it arrived. Within a short period of time the plastic hooks began breaking off beneath the tray. So far 6 have broken off. I can no longer use the tray in a horizontal position. If the hooks had been of a metal construction it would have lasted much much longer. I am throwing the product out shortly. It lasted about 4 weeks.Read full review...,1 stars,Disappointed So pleased with this product when it arrived. Within a short period of time the plastic hooks began breaking off beneath the tray. So far 6 have broken off. I can no longer use the tray in a horizontal position. If the hooks had been of a metal construction it would have lasted much much longer. I am throwing the product out shortly. It lasted about 4 weeks.Read full review...,-0.6674
19,Top table,"The table mate foldable table is ideal for writing on, eating a meal. It is good value for money, but could be a bit more sturdy. The adjustable feature for the top is an additional benefit. ",4 stars,"Top table The table mate foldable table is ideal for writing on, eating a meal. It is good value for money, but could be a bit more sturdy. The adjustable feature for the top is an additional benefit. ",0.8873
20,Cut use it can't adjust it level as shown on all the pictures on box,You can't adjust it to go level I have sent photo but no one has bothered to get back I needed for my wife to eat her dinner of but can't use it she is 75 and has a broken vertebrae and can't move about Mitch I am very disappointed Read full review...,1 stars,Cut use it can't adjust it level as shown on all the pictures on box You can't adjust it to go level I have sent photo but no one has bothered to get back I needed for my wife to eat her dinner of but can't use it she is 75 and has a broken vertebrae and can't move about Mitch I am very disappointed Read full review...,-0.9436
21,Flimsy ,Not really what I expected. Very flimsy. Just a small knock against it would knock the support rail out and table would fall. Ended up re packing it and storing it as could not be bothered to return it. Ended up getting a much stronger one for just a few pounds more. Read full review...,2 stars,Flimsy  Not really what I expected. Very flimsy. Just a small knock against it would knock the support rail out and table would fall. Ended up re packing it and storing it as could not be bothered to return it. Ended up getting a much stronger one for just a few pounds more. Read full review...,0.7401
22,this has made such a difference so an elderly lady who kept dropping her dinner from a normal tray.  This has given her so much more confidence,"this replaced a beanbag tray that an elderly friend was using.  The beanbag tray kept sliding and she had tipped her dinner on the floor a few times.  We tried this tray and what a difference it has made to her life.  No more lost dinners, easy to slide away once she has finished eating and sturdy enough to keep food and drinks on without sliding.  An absolute bargain and has helped her gain confidence again and given her independence.Read full review...",5 stars,"this has made such a difference so an elderly lady who kept dropping her dinner from a normal tray.  This has given her so much more confidence this replaced a beanbag tray that an elderly friend was using.  The beanbag tray kept sliding and she had tipped her dinner on the floor a few times.  We tried this tray and what a difference it has made to her life.  No more lost dinners, easy to slide away once she has finished eating and sturdy enough to keep food and drinks on without sliding.  An absolute bargain and has helped her gain confidence again and given her independence.Read full review...",0.938
23,Cant complain!,Bought this table even though some reviews were quite bad. I really think some people here might have unrealistic views when it comes to getting some amazing quality for a tenner...it is what it it does its job and i think if youre on a budget and want something you dont mind throwing away in a year or so...this is just fine. Ita not the best nor the worst...it has the quality you paid for.Read full review...,4 stars,Cant complain! Bought this table even though some reviews were quite bad. I really think some people here might have unrealistic views when it comes to getting some amazing quality for a tenner...it is what it it does its job and i think if youre on a budget and want something you dont mind throwing away in a year or so...this is just fine. Ita not the best nor the worst...it has the quality you paid for.Read full review...,-0.1136
24,Versatile portable table,"I bought the table for a day of Painting in the Park, and it was ideal for holding my materials. It was also easy to transport and not heavy to carry. It also has many uses indoors!",4 stars,"Versatile portable table I bought the table for a day of Painting in the Park, and it was ideal for holding my materials. It was also easy to transport and not heavy to carry. It also has many uses indoors!",0.7644
25,Unstable and easy to knock over,"The pictures and description of the table read well, but it’s very flimsy, not a good quality and unstable, ie it was very easy to knock over, so it’s not a good table if you want something that is sturdy to use.Read full review...",1 stars,"Unstable and easy to knock over The pictures and description of the table read well, but it’s very flimsy, not a good quality and unstable, ie it was very easy to knock over, so it’s not a good table if you want something that is sturdy to use.Read full review...",-0.638
26,Good quality tray,When using make sure tray secure as will fall down if not also make sure legs fit under wherever your going to use it as my settee hasA dip in middle and won’t fit under it,4 stars,Good quality tray When using make sure tray secure as will fall down if not also make sure legs fit under wherever your going to use it as my settee hasA dip in middle and won’t fit under it,0.9169
27,Small lap table,"Does what is says on the box! Cheap value for money lap table for dinner whilst still sitting in your favourite chair. Yes could be better, which I can explain by saying that I also brought a ""Days"" table ! Great but this one is too high and does not fit around/ under my chair. So I always use this one. So the moral of this is?Read full review...",5 stars,"Small lap table Does what is says on the box! Cheap value for money lap table for dinner whilst still sitting in your favourite chair. Yes could be better, which I can explain by saying that I also brought a ""Days"" table ! Great but this one is too high and does not fit around/ under my chair. So I always use this one. So the moral of this is?Read full review...",0.6084
28,Flimsy,"It's flimsy, but at the price what exactly did I expect. It isn't flat, maybe it's not meant to be, but don't fill your cup to the top or it'll spill over (maybe 3% rise but enough to be annoying). Will be looking at better ones and hand this on to someone.Read full review...",2 stars,"Flimsy It's flimsy, but at the price what exactly did I expect. It isn't flat, maybe it's not meant to be, but don't fill your cup to the top or it'll spill over (maybe 3% rise but enough to be annoying). Will be looking at better ones and hand this on to someone.Read full review...",0.8847
29,JUNK,THIS TABLE /TRAY IS A PIECE OF JUNK. ONCE ASSEMBLYED IT IS ALMOST IMPOSSIBLE TO ADJUST THE HEIGHT AGAIN.   IT ALSO WOBBLES AND IS CAPABLE OF FALLING FORWARD TO THE FLOOR.  IT IS A CHEAP IMMITATION OF THE MORE EXPENSIVE ONE ON HIGH STREET TV.  DONT WASTE YOUR MONEY.   I GAVE POSITIVE FEEDBACK FAR TOO EARLY. NEVER AGAIN.AS I WRITE IT IS IN THE RECYCLE BIN.Read full review...,1 stars,JUNK THIS TABLE /TRAY IS A PIECE OF JUNK. ONCE ASSEMBLYED IT IS ALMOST IMPOSSIBLE TO ADJUST THE HEIGHT AGAIN.   IT ALSO WOBBLES AND IS CAPABLE OF FALLING FORWARD TO THE FLOOR.  IT IS A CHEAP IMMITATION OF THE MORE EXPENSIVE ONE ON HIGH STREET TV.  DONT WASTE YOUR MONEY.   I GAVE POSITIVE FEEDBACK FAR TOO EARLY. NEVER AGAIN.AS I WRITE IT IS IN THE RECYCLE BIN.Read full review...,0.8484
30,Not as stable as I had wished them to be.,"The product arrived very quickly, but setting up the tables I found them a bit flimsy when at their max height and not as strong as I had expected them to be. I am afraid they will not hold anything heavy. The stays that adjust the angle of the table top come out easily so that the whole table top falls down. Would not recommend them for regular use, but I think they will be ok for occasional uses.Read full review...",4 stars,"Not as stable as I had wished them to be. The product arrived very quickly, but setting up the tables I found them a bit flimsy when at their max height and not as strong as I had expected them to be. I am afraid they will not hold anything heavy. The stays that adjust the angle of the table top come out easily so that the whole table top falls down. Would not recommend them for regular use, but I think they will be ok for occasional uses.Read full review...",0.3895
31,Broke after second use,The clips for supporting the table top are very filmy and they broke after the second use! I purchases a similar one before and the clips by comparison are much bigger and stronger and I am still using it after 5 years!!! What a waste of money with this one!!Read full review...,1 stars,Broke after second use The clips for supporting the table top are very filmy and they broke after the second use! I purchases a similar one before and the clips by comparison are much bigger and stronger and I am still using it after 5 years!!! What a waste of money with this one!!Read full review...,-0.5053
32,The best of its type.,"This is a sturdy well made table, of its type it is by far the best we have bought.",5 stars,"The best of its type. This is a sturdy well made table, of its type it is by far the best we have bought.",0.8885
33,Waste of space,"Wobbly and fragile.  Table has three differently sloped levels, none of them are flat, so it would be impossible to use it to serve food or drinks.",1 stars,"Waste of space Wobbly and fragile.  Table has three differently sloped levels, none of them are flat, so it would be impossible to use it to serve food or drinks.",-0.4215
34,not very good..,"you get what you pay for i suppose..not very sturdy and easily stained with tea etc. doesnt clean up very well, should have paid a bit more for somthing better",2 stars,"not very good.. you get what you pay for i suppose..not very sturdy and easily stained with tea etc. doesnt clean up very well, should have paid a bit more for somthing better",0.677
35,Not worth the money I paid for it.,It's not very sturdy very shaky doesn't lock into place well kept falling apart when moved its only good to place light items on even then I was scared it would collapse when I tried to manoeuvre it.,2 stars,Not worth the money I paid for it. It's not very sturdy very shaky doesn't lock into place well kept falling apart when moved its only good to place light items on even then I was scared it would collapse when I tried to manoeuvre it.,-0.7025
36,You only get what you pay for.,"The product is flimsy and unstable if you are an older person and trying to adjust it on your own.My own one that i purchased , the plastic top is warped and hard to locate on the adjuster.But hey you only get what you pay for, so would not recommend this for elderly people.Thanks GH Garrott.Read full review...",1 stars,"You only get what you pay for. The product is flimsy and unstable if you are an older person and trying to adjust it on your own.My own one that i purchased , the plastic top is warped and hard to locate on the adjuster.But hey you only get what you pay for, so would not recommend this for elderly people.Thanks GH Garrott.Read full review...",-0.6455
37,value for money,Very good can pack away easy when finished with,4 stars,value for money Very good can pack away easy when finished with,0.8173
38,really handy table,easy to fold up/down. great for having a meal on & also for using laptop,5 stars,really handy table easy to fold up/down. great for having a meal on & also for using laptop,0.8055
39,Perfect for my needs.,"This little table is perfect for my needs, those being a flat surface at just the right size and height to put my paints and brushes etc on while I am working at the easel. Didn't want or need anything too elaborate, so this just does the job. I can also sit at it to trace from the light box. Very pleased for the price!Read full review...",5 stars,"Perfect for my needs. This little table is perfect for my needs, those being a flat surface at just the right size and height to put my paints and brushes etc on while I am working at the easel. Didn't want or need anything too elaborate, so this just does the job. I can also sit at it to trace from the light box. Very pleased for the price!Read full review...",0.8933
40,Find an alternative ,Product is wonky & weak.I didn’t have high expectations on the price point but figured my son could use for his laptop during home school.It is wonky & weak.I did expect it to be even but the metal & plastic are not straight.Read full review...,1 stars,Find an alternative  Product is wonky & weak.I didn’t have high expectations on the price point but figured my son could use for his laptop during home school.It is wonky & weak.I did expect it to be even but the metal & plastic are not straight.Read full review...,0.0
41,Not worth the money.,"This product is not very good quality, it is very flimsy and the table top is warped and out of shape. Unfortunately we didn't keep the box, so can't return it. ",1 stars,"Not worth the money. This product is not very good quality, it is very flimsy and the table top is warped and out of shape. Unfortunately we didn't keep the box, so can't return it. ",-0.5979
42,Useful?,Was more flimsy than I expected and really not stable enough to have a plated meal on. As a quick pick me up for emergency would be ok but not for anything that needs a stable base,3 stars,Useful? Was more flimsy than I expected and really not stable enough to have a plated meal on. As a quick pick me up for emergency would be ok but not for anything that needs a stable base,-0.3783
43,Table tray ????,This is the worst product I have ever  purchased on ebay all the clips broken table top warped wouldn't sit flat the leg fittings were 2 loose this was meant for an elderly person to eat their dinner in the chair no chance . the fact that i had to pay the return postage was the reason i didn't bother to send it  back. £10 in the recycling bin .Read full review...,1 stars,Table tray ???? This is the worst product I have ever  purchased on ebay all the clips broken table top warped wouldn't sit flat the leg fittings were 2 loose this was meant for an elderly person to eat their dinner in the chair no chance . the fact that i had to pay the return postage was the reason i didn't bother to send it  back. £10 in the recycling bin .Read full review...,-0.849
44,Suitability,A great idea just wish tray could be located more firmly onto frame as an inch lateral misalignment makes the tray unstable as insufficient width allowance on angle locater wire. Sorry my review is slightly negative on this otherwise great idea.Read full review...,4 stars,Suitability A great idea just wish tray could be located more firmly onto frame as an inch lateral misalignment makes the tray unstable as insufficient width allowance on angle locater wire. Sorry my review is slightly negative on this otherwise great idea.Read full review...,0.6901
45,Awful,Bought the for crafting on and the quality is awful.  Really flimsy.  The top has warped so would not sit flat and rocked all the time.  Defo would not of wanted to put any weight on it like a dinner plate.  Would have given 0 stars if I could.Read full review...,1 stars,Awful Bought the for crafting on and the quality is awful.  Really flimsy.  The top has warped so would not sit flat and rocked all the time.  Defo would not of wanted to put any weight on it like a dinner plate.  Would have given 0 stars if I could.Read full review...,-0.3477
46,Not good,When we put it together it is very wobbly. Very poor quality  on the box it says similar to one advertised on TV. It certainly looks the same but that is where the similarities end,2 stars,Not good When we put it together it is very wobbly. Very poor quality  on the box it says similar to one advertised on TV. It certainly looks the same but that is where the similarities end,-0.3251
47,Waste of money,This table is shocking! I got it so my children can sit and have their sinner in whilst our kitchen is being renovated. I don’t trust anything on it. It is crooked and very unsteady. I have to put a tray on top to steady it out. You daren’t put a drink on it either. Waste of money!Read full review...,1 stars,Waste of money This table is shocking! I got it so my children can sit and have their sinner in whilst our kitchen is being renovated. I don’t trust anything on it. It is crooked and very unsteady. I have to put a tray on top to steady it out. You daren’t put a drink on it either. Waste of money!Read full review...,-0.5837
48,Very good quality,It helps my father in law a lot as it saves mess everywhere! He loves it alot.,5 stars,Very good quality It helps my father in law a lot as it saves mess everywhere! He loves it alot.,0.8066
49,Laptop table,"Bought this so I could get rid of my computer desk and use a laptop. Table is very good, would have gave it a 5, but the legs are to hard to turn in and fold flat.",4 stars,"Laptop table Bought this so I could get rid of my computer desk and use a laptop. Table is very good, would have gave it a 5, but the legs are to hard to turn in and fold flat.",0.1272
50,"It's OK, it serves its purpose.","For the price, what do you expect. Not the most sturdy of tables (I wouldn't put excessive weight on it) but it serves its purpose, for a wheelchair user with limited space.",3 stars,"It's OK, it serves its purpose. For the price, what do you expect. Not the most sturdy of tables (I wouldn't put excessive weight on it) but it serves its purpose, for a wheelchair user with limited space.",-0.0985
51,Portable mate TVs laptop tray folding adjustable table,Unfortunately the table top is slightly warped but I was offered a free return but I had thrown the packaging away so couldn't return it my query was answered quickly and I was then offerd a £5 refundAll In all I have to say I didn't pay a lot for it The frame is sturdy and the warped top I got could be a one offI would shop with this supplier again because of the way they tried to pleaseBut in future I would save the packaging until I am sure my purchase is okRead full review...,4 stars,Portable mate TVs laptop tray folding adjustable table Unfortunately the table top is slightly warped but I was offered a free return but I had thrown the packaging away so couldn't return it my query was answered quickly and I was then offerd a £5 refundAll In all I have to say I didn't pay a lot for it The frame is sturdy and the warped top I got could be a one offI would shop with this supplier again because of the way they tried to pleaseBut in future I would save the packaging until I am sure my purchase is okRead full review...,0.933
52,Amazing table.,"Absolutely love it.  I suffer with bad rhetoric mastoid arthritis and cannot sit at the table to eat, do my hobbies etc.  This is amazing and you can alter the height and position of table.Brilliant!Sandra BurkeRead full review...",5 stars,"Amazing table. Absolutely love it.  I suffer with bad rhetoric mastoid arthritis and cannot sit at the table to eat, do my hobbies etc.  This is amazing and you can alter the height and position of table.Brilliant!Sandra BurkeRead full review...",0.7287
53,Not for liquids. ,The product is what it is the main problem is its strength which is very weak & wobbly. Would not put a drink on it .For laptop & reading not too bad.,3 stars,Not for liquids.  The product is what it is the main problem is its strength which is very weak & wobbly. Would not put a drink on it .For laptop & reading not too bad.,0.0405
54,Table is ok bit flimsy,Took ages to get to me. Company we're good by keeping in touch with me but had to open up a resolution to get a response.,3 stars,Table is ok bit flimsy Took ages to get to me. Company we're good by keeping in touch with me but had to open up a resolution to get a response.,0.3716
55,Tables,Purchased two tables and after assembly the were very unstable. I did not trust having a hot meal on them for fear of them collapsing and having hot food spilt on me .I did not use them at all and took them to the local tip .MY ADVICE DON'T BUY THESE TABLES.Read full review...,1 stars,Tables Purchased two tables and after assembly the were very unstable. I did not trust having a hot meal on them for fear of them collapsing and having hot food spilt on me .I did not use them at all and took them to the local tip .MY ADVICE DON'T BUY THESE TABLES.Read full review...,-0.8719
56,Broken on arrival,I ordered two. The clips on one that hold in place the adjustable legs were broken on arrival and still awaiting replacements..... the other is very unsteady and the table top doesn't sit flat so kiddies unable to eat on it!!!Read full review...,1 stars,Broken on arrival I ordered two. The clips on one that hold in place the adjustable legs were broken on arrival and still awaiting replacements..... the other is very unsteady and the table top doesn't sit flat so kiddies unable to eat on it!!!Read full review...,-0.7412
57,Adjustable table,Looks good. But holes were not drilled in legs so my husband had to drill the metal himself!  Someone would have had to send it back.  It also needs a clip to hold prop in place.  You try to move it it collapses.Read full review...,2 stars,Adjustable table Looks good. But holes were not drilled in legs so my husband had to drill the metal himself!  Someone would have had to send it back.  It also needs a clip to hold prop in place.  You try to move it it collapses.Read full review...,0.3054
58,Portable folding table,"Looked great on picture, but fake apart so b easy, and plastic top twisted. Not worth half the money",1 stars,"Portable folding table Looked great on picture, but fake apart so b easy, and plastic top twisted. Not worth half the money",0.4387
59,Cheap and cheerful,Just right for my husband to eat meals from. Slides quite close. Not easy to fold every time though. ,5 stars,Cheap and cheerful Just right for my husband to eat meals from. Slides quite close. Not easy to fold every time though. ,0.2096
60,Perfect for any room,Bought my daughter one for her bedroom which is small. Perfect for homework or putting make on. Bonus folds down when not in use and takes up no room,5 stars,Perfect for any room Bought my daughter one for her bedroom which is small. Perfect for homework or putting make on. Bonus folds down when not in use and takes up no room,0.8658
61,Flimsy,"Too light and flimsy, needed modifying to prevent tray collapsing in use. But cheap.",2 stars,"Flimsy Too light and flimsy, needed modifying to prevent tray collapsing in use. But cheap.",-0.1406
62,Disappointed,Initially I thought it was brilliant BUT one of the plastic supports has broken off. If it was more sturdy it would be good.,2 stars,Disappointed Initially I thought it was brilliant BUT one of the plastic supports has broken off. If it was more sturdy it would be good.,0.5106
63,Portable tables,A bit disappointed as our original ones which we have had for years were much sturdier. These tend to be wobbly and the legs are much thinner.,2 stars,Portable tables A bit disappointed as our original ones which we have had for years were much sturdier. These tend to be wobbly and the legs are much thinner.,-0.2023
64,Quality excellent ,"Excellent quality, very good price and able to fold down easily. My two youngest grandchildren 7 and 10 love them.",5 stars,"Quality excellent  Excellent quality, very good price and able to fold down easily. My two youngest grandchildren 7 and 10 love them.",0.9531
65,Table,Received this table today its okay although a bit flimsy and top is a bit slippy when plate is put on it so maybe will get used to it.,3 stars,Table Received this table today its okay although a bit flimsy and top is a bit slippy when plate is put on it so maybe will get used to it.,0.4019
66,Handy table,"very good product, has  various angles, a cup holder and a pen drawer, excellent product and folds up for easy storage too",5 stars,"Handy table very good product, has  various angles, a cup holder and a pen drawer, excellent product and folds up for easy storage too",0.8687
67,Very weak,"Very disappointed in these tables.. very weak and unbalanced, table top is very bendy . Not recommended , Not going to use them they will not be safe to put hot  drinks on at all ..",1 stars,"Very weak Very disappointed in these tables.. very weak and unbalanced, table top is very bendy . Not recommended , Not going to use them they will not be safe to put hot  drinks on at all ..",-0.9101
68,Descriptive and accurate. ,So easy to use and assemble and such good value. Sometimes the simplest ideas are the best. ,5 stars,Descriptive and accurate.  So easy to use and assemble and such good value. Sometimes the simplest ideas are the best. ,0.9134
69,Won’t go level to eat off catches broken, The table arrived broken the catches underneath were broken off. Even if they were ok. You couldn’t get the table top to sit level so you could eat off it. Complete waist of money ,1 stars,Won’t go level to eat off catches broken  The table arrived broken the catches underneath were broken off. Even if they were ok. You couldn’t get the table top to sit level so you could eat off it. Complete waist of money ,-0.743
70,Best wee table,The best table l got for diamond painting that I used it then it folded down so easy,5 stars,Best wee table The best table l got for diamond painting that I used it then it folded down so easy,0.9386
